preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A truck is a,toy.,truck,none,toy,28,"[-10.564112663269043, -11.01496696472168, -10.781017303466797, -12.308589935302734, -10.46334457397461, -10.472975730895996, -12.188470840454102, -10.774017333984375, -11.016944885253906, -11.212849617004395, -11.369043350219727, -9.111313819885254, -12.537816047668457, -9.320279121398926, -13.3983154296875, -11.8266019821167, -9.918962478637695, -12.232969284057617, -12.57693099975586, -11.860027313232422, -10.585472106933594, -11.50912094116211, -10.731721878051758, -11.050929069519043, -11.01123046875, -12.752758026123047, -9.063873291015625, -11.630573272705078, -10.269318580627441, -11.876575469970703, -10.638919830322266, -12.767972946166992, -10.125238418579102, -10.748655319213867, -10.092857360839844, -9.774612426757812, -10.748659133911133, -11.745451927185059, -10.49384880065918, -9.613243103027344, -10.813028335571289, -12.450536727905273, -12.079547882080078, -11.39327335357666, -10.768589973449707, -10.541114807128906, -12.342781066894531, -10.138899803161621, -10.424689292907715, -11.70280647277832]",7241732096,mistralai_Mistral-7B-v0.1
A puzzle is a,toy.,puzzle,none,toy,29,"[-12.588987350463867, -10.747213363647461, -12.491447448730469, -10.497095108032227, -12.639949798583984, -12.179912567138672, -13.053569793701172, -12.860244750976562, -13.652938842773438, -11.258520126342773, -12.013810157775879, -12.634590148925781, -12.177295684814453, -13.243036270141602, -12.935249328613281, -12.910236358642578, -12.624197006225586, -13.208697319030762, -13.690957069396973, -14.261604309082031, -10.101713180541992, -12.128544807434082, -12.435633659362793, -10.208200454711914, -13.625605583190918, -10.984380722045898, -14.172281265258789, -12.073016166687012, -13.284831047058105, -10.236724853515625, -14.490649223327637, -11.165715217590332, -12.682608604431152, -14.452795028686523, -10.388715744018555, -7.764476776123047, -12.124422073364258, -10.544012069702148, -13.350629806518555, -11.156566619873047, -11.778450012207031, -10.797772407531738, -11.958212852478027, -12.160572052001953, -9.317438125610352, -13.365628242492676, -11.972016334533691, -13.906054496765137, -10.132750511169434, -12.856674194335938]",7241732096,mistralai_Mistral-7B-v0.1
A fire engine is a,toy.,fire engine,none,toy,30,"[-14.927318572998047, -15.964034080505371, -14.548429489135742, -15.468009948730469, -15.676542282104492, -15.126049995422363, -10.728205680847168, -14.194931983947754, -13.972591400146484, -14.291576385498047, -15.478265762329102, -14.560232162475586, -10.180547714233398, -14.607948303222656, -15.458454132080078, -15.43766975402832, -15.043844223022461, -15.626079559326172, -10.313065528869629, -14.869701385498047, -15.493410110473633, -15.40820026397705, -13.338054656982422, -15.860713958740234, -16.873769760131836, -11.14836597442627, -16.295066833496094, -14.964759826660156, -14.960917472839355, -15.04561996459961, -14.761741638183594, -12.046510696411133, -14.063644409179688, -10.684864044189453, -14.646589279174805, -14.341436386108398, -14.467947006225586, -15.686625480651855, -15.285551071166992, -14.489241600036621, -14.758394241333008, -15.462367057800293, -14.97327995300293, -13.923628807067871, -14.554479598999023, -14.37887954711914, -14.775056838989258, -14.966330528259277, -14.908246040344238, -15.112372398376465]",7241732096,mistralai_Mistral-7B-v0.1
A balloon is a,toy.,balloon,none,toy,31,"[-13.318449020385742, -14.998758316040039, -14.970626831054688, -10.684807777404785, -15.44692611694336, -15.128670692443848, -15.461091041564941, -14.857075691223145, -14.677000999450684, -14.423797607421875, -14.720968246459961, -15.570099830627441, -13.998248100280762, -14.980231285095215, -14.775638580322266, -15.132619857788086, -14.715998649597168, -14.576701164245605, -10.997325897216797, -14.979933738708496, -14.076408386230469, -14.444799423217773, -14.633894920349121, -14.891351699829102, -14.416361808776855, -14.986587524414062, -13.84252643585205, -14.898273468017578, -16.012313842773438, -14.350252151489258, -14.95036506652832, -10.616153717041016, -11.015069961547852, -14.610847473144531, -15.830307006835938, -16.108123779296875, -15.22303295135498, -15.28393268585205, -15.324235916137695, -14.631880760192871, -14.463080406188965, -15.824932098388672, -15.418639183044434, -14.439367294311523, -14.444432258605957, -15.096851348876953, -13.57042407989502, -15.233930587768555, -15.761225700378418, -15.238572120666504]",7241732096,mistralai_Mistral-7B-v0.1
Skates are,toys.,skates,none,toy,32,"[-11.554083824157715, -11.964688301086426, -9.690468788146973, -11.27652359008789, -12.74519157409668, -12.099130630493164, -12.728281021118164, -11.556260108947754, -10.460193634033203, -12.186569213867188, -12.483009338378906, -13.35830307006836, -10.565900802612305, -11.214096069335938, -11.774576187133789, -12.332265853881836, -10.671707153320312, -12.484634399414062, -12.620893478393555, -12.774181365966797, -10.613943099975586, -10.311452865600586, -11.702985763549805, -10.598804473876953, -12.78363037109375, -11.255657196044922, -12.978782653808594, -11.647859573364258, -11.86915397644043, -10.74583625793457, -10.85843276977539, -10.657876014709473, -10.8176851272583, -11.174925804138184, -12.744921684265137, -12.971195220947266, -12.333625793457031, -11.653814315795898, -10.808917999267578, -13.571747779846191, -11.748753547668457, -11.861912727355957, -10.428054809570312, -9.378007888793945, -9.89173698425293, -11.934683799743652, -10.843306541442871, -11.104578018188477, -10.756032943725586, -11.001412391662598]",7241732096,mistralai_Mistral-7B-v0.1
A baseball is a,toy.,baseball,none,toy,33,"[-10.532236099243164, -16.423320770263672, -10.962143898010254, -11.114582061767578, -11.933380126953125, -13.100234985351562, -11.032711029052734, -13.25875186920166, -12.368388175964355, -10.430291175842285, -11.198077201843262, -12.096416473388672, -9.939750671386719, -12.513004302978516, -10.112407684326172, -11.08277702331543, -10.525474548339844, -12.173072814941406, -13.028481483459473, -10.548954010009766, -13.589091300964355, -11.54173755645752, -11.55360221862793, -11.25566291809082, -12.014511108398438, -13.87728500366211, -13.449464797973633, -11.631721496582031, -11.43753433227539, -10.834968566894531, -10.99871826171875, -9.693219184875488, -11.178169250488281, -10.60267162322998, -11.839278221130371, -10.147126197814941, -11.977716445922852, -10.66401481628418, -10.853348731994629, -13.613068580627441, -10.267147064208984, -10.760565757751465, -12.115163803100586, -10.428178787231445, -11.810990333557129, -13.183599472045898, -13.022683143615723, -11.244958877563477, -11.304168701171875, -12.12550163269043]",7241732096,mistralai_Mistral-7B-v0.1
A drum is a,toy.,drum,none,toy,34,"[-11.617813110351562, -11.396880149841309, -12.824450492858887, -12.347983360290527, -13.952140808105469, -11.279312133789062, -11.793853759765625, -10.669628143310547, -13.654638290405273, -12.922950744628906, -10.884135246276855, -9.90221118927002, -13.394330024719238, -12.082864761352539, -13.187921524047852, -12.0659818649292, -10.979753494262695, -11.750580787658691, -10.948500633239746, -13.85527229309082, -13.945298194885254, -12.052288055419922, -12.68163013458252, -11.149112701416016, -11.54202651977539, -13.054137229919434, -11.756698608398438, -10.811548233032227, -13.584637641906738, -12.4972505569458, -12.562613487243652, -11.205575942993164, -11.607414245605469, -11.984663009643555, -11.966582298278809, -11.3234224319458, -10.498515129089355, -11.597671508789062, -11.341909408569336, -11.56113052368164, -10.328275680541992, -10.462369918823242, -12.448031425476074, -12.753177642822266, -10.679780960083008, -13.850142478942871, -10.342569351196289, -13.176255226135254, -11.58289623260498, -12.323038101196289]",7241732096,mistralai_Mistral-7B-v0.1
A football is a,toy.,football,none,toy,35,"[-12.277730941772461, -14.237430572509766, -10.945330619812012, -11.298367500305176, -11.940857887268066, -10.908806800842285, -13.405244827270508, -11.056126594543457, -13.517422676086426, -14.0217866897583, -13.579988479614258, -11.347574234008789, -12.261444091796875, -12.001335144042969, -9.469571113586426, -11.403203964233398, -14.701805114746094, -11.163687705993652, -12.434394836425781, -12.702118873596191, -10.560260772705078, -11.850846290588379, -12.397425651550293, -11.291176795959473, -12.316726684570312, -10.990859985351562, -13.167221069335938, -12.256906509399414, -13.751201629638672, -12.475787162780762, -11.530454635620117, -11.224555015563965, -13.045072555541992, -13.171984672546387, -12.720559120178223, -12.89906120300293, -12.096898078918457, -14.479411125183105, -9.23799991607666, -13.433263778686523, -11.793932914733887, -13.635472297668457, -12.938453674316406, -12.683213233947754, -11.080795288085938, -14.068598747253418, -11.372708320617676, -11.677824020385742, -12.016082763671875, -14.72596263885498]",7241732096,mistralai_Mistral-7B-v0.1
A game is a,toy.,game,none,toy,36,"[-12.223862648010254, -12.017646789550781, -11.314318656921387, -9.958819389343262, -11.814603805541992, -9.838273048400879, -12.222574234008789, -11.18600845336914, -11.445648193359375, -11.330865859985352, -10.86657428741455, -12.709861755371094, -12.532981872558594, -13.59172248840332, -12.655252456665039, -11.960990905761719, -11.669905662536621, -11.330437660217285, -13.119962692260742, -11.42526912689209, -10.16457462310791, -11.55672550201416, -10.594449996948242, -9.706655502319336, -14.917526245117188, -13.990728378295898, -11.961908340454102, -11.793773651123047, -12.22594165802002, -13.02100944519043, -10.075403213500977, -10.95937442779541, -13.101393699645996, -11.198931694030762, -14.047980308532715, -11.961892127990723, -9.715486526489258, -11.7141752243042, -11.999951362609863, -10.808422088623047, -12.77995777130127, -12.025436401367188, -11.445825576782227, -11.450992584228516, -10.952821731567383, -12.061483383178711, -13.416955947875977, -9.779614448547363, -13.060717582702637, -12.180212020874023]",7241732096,mistralai_Mistral-7B-v0.1
A swing is a,toy.,swing,none,toy,37,"[-11.934284210205078, -11.026810646057129, -13.1008939743042, -11.880010604858398, -11.019660949707031, -12.696176528930664, -12.653682708740234, -13.91358757019043, -11.707738876342773, -12.787532806396484, -12.939842224121094, -13.798393249511719, -10.09603214263916, -13.567094802856445, -10.755234718322754, -12.29757022857666, -13.048632621765137, -14.353778839111328, -13.122190475463867, -10.78848934173584, -11.49828815460205, -12.98539924621582, -14.030855178833008, -13.07897663116455, -11.994503021240234, -12.358739852905273, -12.474143981933594, -12.757148742675781, -12.933489799499512, -12.062654495239258, -12.37353515625, -11.11284065246582, -12.183015823364258, -11.171652793884277, -11.778411865234375, -12.794912338256836, -12.352109909057617, -12.987184524536133, -11.797168731689453, -14.04094123840332, -13.308694839477539, -11.023669242858887, -11.925102233886719, -14.064980506896973, -10.842832565307617, -12.561829566955566, -11.981932640075684, -13.275300979614258, -12.162089347839355, -14.524035453796387]",7241732096,mistralai_Mistral-7B-v0.1
A boat is a,toy.,boat,none,toy,38,"[-10.932695388793945, -11.672492980957031, -10.216924667358398, -8.752880096435547, -10.573736190795898, -11.565261840820312, -11.031283378601074, -8.988389015197754, -11.996393203735352, -11.992807388305664, -10.428921699523926, -9.730807304382324, -9.660511016845703, -9.437966346740723, -9.460064888000488, -12.433815002441406, -10.796260833740234, -11.427522659301758, -12.464994430541992, -13.395318984985352, -8.404654502868652, -12.64320182800293, -11.332598686218262, -11.43419361114502, -13.01009464263916, -12.19333267211914, -11.932596206665039, -11.844549179077148, -9.552528381347656, -10.27246379852295, -12.088459014892578, -12.045381546020508, -8.569072723388672, -10.308629989624023, -11.635391235351562, -11.137077331542969, -12.266377449035645, -11.003941535949707, -10.114614486694336, -8.261425018310547, -10.888143539428711, -10.83334732055664, -8.83320426940918, -10.879308700561523, -12.252565383911133, -10.341702461242676, -13.147332191467285, -11.121063232421875, -10.11739730834961, -10.992959976196289]",7241732096,mistralai_Mistral-7B-v0.1
A monopoly is a,toy.,monopoly,none,toy,39,"[-16.67477798461914, -16.453168869018555, -16.143110275268555, -16.825586318969727, -8.984247207641602, -10.149051666259766, -16.647533416748047, -15.876117706298828, -17.081661224365234, -16.649099349975586, -15.640445709228516, -16.298603057861328, -15.861010551452637, -15.777547836303711, -15.661931991577148, -15.389883995056152, -16.701967239379883, -17.282411575317383, -17.488903045654297, -17.73261260986328, -15.600835800170898, -16.963529586791992, -17.426288604736328, -16.51252555847168, -15.467527389526367, -16.115880966186523, -16.210622787475586, -16.816720962524414, -9.826131820678711, -16.48826026916504, -9.450275421142578, -17.778884887695312, -17.234479904174805, -17.642105102539062, -15.969038009643555, -9.98684024810791, -16.99177360534668, -16.22037124633789, -17.04134178161621, -17.410303115844727, -16.486682891845703, -17.359500885009766, -16.315208435058594, -15.385503768920898, -16.670061111450195, -16.27129364013672, -17.705631256103516, -16.72452163696289, -17.019868850708008, -16.051715850830078]",7241732096,mistralai_Mistral-7B-v0.1
A sled is a,toy.,sled,none,toy,40,"[-13.924503326416016, -15.182367324829102, -15.640913009643555, -14.46737289428711, -15.307700157165527, -14.618782997131348, -14.85811996459961, -14.397429466247559, -13.859893798828125, -15.66366958618164, -14.872206687927246, -14.639969825744629, -14.815388679504395, -14.583544731140137, -15.047659873962402, -15.814281463623047, -10.764799118041992, -14.946771621704102, -15.460352897644043, -15.184029579162598, -16.154560089111328, -14.717092514038086, -15.444002151489258, -15.476051330566406, -10.263639450073242, -15.386611938476562, -13.914042472839355, -14.842028617858887, -14.754606246948242, -14.797503471374512, -14.974761962890625, -14.80860710144043, -15.070520401000977, -15.710081100463867, -14.65229606628418, -12.946179389953613, -14.90208625793457, -14.806044578552246, -13.79438591003418, -11.323783874511719, -14.581750869750977, -14.571548461914062, -15.319964408874512, -15.088861465454102, -14.891793251037598, -14.92398738861084, -13.227746963500977, -14.865469932556152, -14.01318645477295, -15.016654014587402]",7241732096,mistralai_Mistral-7B-v0.1
A seesaw is a,toy.,seesaw,none,toy,41,"[-11.737049102783203, -11.129956245422363, -14.244950294494629, -15.355016708374023, -14.417466163635254, -14.961050987243652, -14.489775657653809, -14.554078102111816, -12.767328262329102, -15.325593948364258, -14.512028694152832, -15.173213005065918, -15.606683731079102, -14.915019035339355, -14.0331449508667, -15.35675048828125, -15.77867317199707, -15.028965950012207, -14.951053619384766, -16.069040298461914, -15.237378120422363, -15.261168479919434, -14.91324520111084, -14.368267059326172, -14.378155708312988, -14.735347747802734, -15.14104175567627, -14.864222526550293, -14.656400680541992, -10.346994400024414, -10.748502731323242, -14.400813102722168, -13.236336708068848, -14.493690490722656, -15.430737495422363, -10.778518676757812, -15.50627326965332, -14.877470016479492, -12.348306655883789, -15.285910606384277, -14.938706398010254, -15.532729148864746, -11.209312438964844, -14.894590377807617, -14.669273376464844, -14.223408699035645, -10.972336769104004, -15.375185012817383, -12.923171997070312, -10.432380676269531]",7241732096,mistralai_Mistral-7B-v0.1
